workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1116217,2012-10-09 18:27:00,2012-10-09 14:55:00,N537ND,6770.400000000001,7230.0,L/H BACK TOP BAFFLE IS CRACKED.,2012-10-09,FABRICATED PATCH & INSTALLED.,baffle_unspecified,baffle unspecified
1116712,2012-10-24 14:32:00,2012-10-24 15:25:00,N508ND,5413.200000000001,7230.0,#3 & 4 SIDE BAFFLE PLUGS HAVE BROKEN PRONGS.,2012-10-24,REPLACED PLUGS.,baffle_unspecified,baffle unspecified
1117954,2012-12-04 07:03:00,2012-12-04 13:27:00,N563ND,7576.6,7230.0,#2 & 4 BAFFLE PLUGS HAVE SEVERAL BROKEN PRONGS.,2012-12-04,REPLACED BUTTON PLUGS.,baffle_unspecified,baffle unspecified
1118070,2012-12-06 14:59:00,2012-12-07 11:13:00,N532ND,4867.799999999999,7230.0,FWD L/H BAFFLE IS CRACKED BELOW SHROUD AIR INTAKE.,2012-12-06,FABRICATED PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVETING IAW CESSNA SINGLE ENG SRM CH 51-40-00.,baffle_unspecified,baffle unspecified
1118171,2012-12-11 06:54:00,2012-12-18 12:42:00,N550ND,7664.400000000001,7230.0,"ENG BAFFLING CRACKED, R/H SIDE, ABOVE #1 CYLINDER.",2012-12-11,FABRICATED NEW R/H BAFFLE W/ LIKE MATERIAL.,baffle_unspecified,baffle unspecified
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,7230.0,#3 AFT BAFFLE GROMMET TORN.,2013-01-10,INSTALLED NEW GROMMET.,baffle_unspecified,baffle unspecified
1119032,2013-01-22 06:56:00,2013-01-22 13:59:00,N519ND,7892.5,7230.0,REAR BAFFLE PLUGS WORN OUT.,2013-01-22,REPLACED BOTH PLUGS W/ NEW.,baffle_unspecified,baffle unspecified
1119832,2013-02-13 14:58:00,2013-02-13 14:46:00,N509ND,7296.1,7230.0,L/H REAR ENGINE BAFFLE CRACKED.,2013-02-13,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW CESSNA SE SRM 51-40-00(REV4).,baffle_unspecified,baffle unspecified
1119884,2013-02-14 14:58:00,2013-02-14 11:38:00,N564ND,7973.5,7230.0,FRONT ENGINE BAFFLE SCREWS CHAFING MUFFLER SHROUD.,2013-02-14,INSTALLED PROPER LENGTH SCREWS.,baffle_unspecified,baffle unspecified
1120218,2013-02-26 14:33:00,2013-02-26 10:54:00,N514ND,12537.8,7230.0,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACKED.",2013-02-26,"REMOVED MUFFLER TO GAIN ACCESS. BEGAN FABRICATING PATCH, DECIDED TO FABRICATE NEW PIECE OF BAFFLE & INSTALLED. REINSTALLED MUFFLER. ALL WORK DONE IAW CESSNA SRM CH 51-30-00 & 51-40-00.",baffle_unspecified,baffle unspecified
1120254,2013-02-27 18:32:00,2013-02-28 14:50:00,N568ND,6861.6,7230.0,FWD BAFFLE CENTER SECTION IS WORN THROUGH.,2013-02-28,REMOVED WORN SECTION OF BAFFLE. FABRICATED NEW SECTION FROM LIKE MATERIAL AS ORIGINAL IAW SRM 51-30-00. RIVETED IN PLACE IAW SRM 51-40-00.,baffle_unspecified,baffle unspecified
1122024,2013-04-25 14:52:00,2013-05-08 13:45:00,N517ND,9399.1,7230.0,FWD BAFFLE IS CRACKED BY MUFFLER SHROUD OPENING.,2013-05-08,FABRICATED PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVETING IAW CESSNA SE SRM CH 51-40-00.,baffle_unspecified,baffle unspecified
1122181,2013-04-30 06:49:00,2013-04-30 11:00:00,N536ND,7332.1,7230.0,ENGINE BAFFLE PLUGS TANGS BROKEN.,2013-04-30,INSTALLED NEW ENGINE BAFFLE PLUGS.,baffle_unspecified,baffle unspecified
1122260,2013-05-02 07:01:00,2013-05-02 14:09:00,N556ND,8266.8,7230.0,#4 CYL AFT BAFFLE HAS 2 RIVETS SHEARED.,2013-05-02,REMOVED RIVETS & INSTALLED SCREWS & NUTS. TIGHTENED.,baffle_unspecified,baffle unspecified
