workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114775,2012-08-30 14:55:00,2012-08-30 00:00:00,N556ND,7821.599999999999,2510.0,CONTROL LOCK MISSING,2012-08-30,REINSTALLED CONTROL LOCK IN AIRCRAFT,flight_control_unspecified,flight_control unspecified
1116042,2012-10-03 15:05:00,2012-10-03 14:28:00,N538ND,6137.0,2700.0,CONTROL YOKES STICKY.,2012-10-03,CLEANED CONTROL YOKE SHAFTS.,flight_control_unspecified,flight_control unspecified
1116082,2012-10-05 14:54:00,2012-10-05 12:23:00,N563ND,7168.0,2700.0,CONTROL YOKES STICKY.,2012-10-05,CLEANED CONTROL YOKES.,flight_control_unspecified,flight_control unspecified
1116336,2012-10-13 07:06:00,2012-10-14 13:46:00,N527ND,5338.299999999999,2510.0,MAP HOLDER ON PILOTS CONTROL WHEEL IS BROKEN.,2012-10-13,REPLACED MAP HOLDER.,flight_control_unspecified,flight_control unspecified
1116787,2012-10-26 15:06:00,2012-10-26 13:05:00,N550ND,7328.400000000001,2700.0,CONTROL YOKES STICKY.,2012-10-26,CLEANED CONTROL YOKES.,flight_control_unspecified,flight_control unspecified
1117543,2012-11-18 12:23:00,2012-11-18 14:03:00,N576ND,6448.099999999999,2360.0,STATIC WICK BROKEN.,2012-11-18,REPLACED W/ NEW WICK.,flight_control_unspecified,flight_control unspecified
1117657,2012-11-21 07:03:00,2012-11-21 09:51:00,N564ND,7549.299999999999,2140.0,HEATER CONTROL STICKY.,2012-11-21,CLEANED & LUBED CABLE.,flight_control_unspecified,flight_control unspecified
1117817,2012-11-28 14:46:00,2012-11-28 11:12:00,N538ND,6267.7,2360.0,BROKEN STATIC WICK.,2012-11-28,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1117840,2012-11-29 08:25:00,2012-11-29 15:37:00,N546ND,6541.799999999999,2360.0,STATIC WICK BROKEN.,2012-11-29,REMOVED & REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1118069,2012-12-06 14:45:00,2012-12-06 14:51:00,N567ND,5031.6,2360.0,STATIC WICK ON R/H SIDE OF EVEVATOR IS BROKEN.,2012-12-06,REMOVED & REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1118117,2012-12-08 09:13:00,2012-12-08 12:27:00,N566ND,7817.9,2360.0,"OUTER LEFT WING STATIC WICK BROKEN, O/B AILEORN.",2012-12-08,REMOVED & REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1118157,2012-12-10 11:08:00,2012-12-10 13:03:00,N576ND,6582.8,2360.0,STATIC WICK BROKEN.,2012-12-10,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1118168,2012-12-10 19:40:00,2012-12-10 12:54:00,N519ND,7713.4,5520.0,R/H STAB PLASTIC END CAP IS CRACKED.,2012-12-10,STOP DRILLED CRACK & REPAIRED W/ 2 PART EPOXY.,flight_control_unspecified,flight_control unspecified
1118467,2012-12-30 10:15:00,2012-12-30 15:21:00,N562ND,3026.1000000000004,5720.0,RIGHT WING TIP HAS A CRACK.,2012-12-30,STOP DRILLED & FILLED W/ 2 PART EPOXY.,flight_control_unspecified,flight_control unspecified
1118470,2012-12-31 06:57:00,2013-01-09 14:33:00,N545ND,7658.0,2140.0,HEATER CONTROL STIFF.,2012-12-31,"LUBED CONTROL, OPS CK GOOD.",flight_control_unspecified,flight_control unspecified
1118829,2013-01-15 17:56:00,2013-01-15 13:43:00,N536ND,7126.200000000001,2360.0,BROKEN STATIC WICK ON VERTICAL TAIL.,2013-01-15,REMOVED & REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1119253,2013-01-26 14:01:00,2013-01-26 09:34:00,N530ND,8415.7,5720.0,"CRACK, LEFT WING TIP.",2013-01-26,"STOP DRILLED & VALLEYED OUT CRACK, FILLED W/ 2 PART EPOXY.",flight_control_unspecified,flight_control unspecified
1119275,2013-01-27 13:29:00,2013-01-27 11:04:00,N528ND,7848.1,5510.0,RIGHT STAB TIP CRACKED.,2013-01-27,STOP DRILLED CRACK & APPLIED 2 PART EPOXY.,flight_control_unspecified,flight_control unspecified
1119640,2013-02-06 13:41:00,2013-02-06 14:04:00,N516ND,11361.5,2360.0,O/B STATIC WICK ON L/H STAB IS BROKEN.,2013-02-06,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1119687,2013-02-08 08:06:00,2013-02-08 13:47:00,N526ND,7533.3,2520.0,RIGHT REAR LAP BELT IS STUCK.,2013-02-08,MANUALLY RELEASED LOWER REEL LOCK. LAP BELT OPS CHECK GOOD.,flight_control_unspecified,flight_control unspecified
1119884,2013-02-14 14:58:00,2013-02-14 11:38:00,N564ND,7973.5,2730.0,CONTROL YOKES STICKY.,2013-02-14,CLEANED CONTROL YOKES.,flight_control_unspecified,flight_control unspecified
1120072,2013-02-21 11:59:00,2013-02-21 13:23:00,N552ND,11011.3,2360.0,ELEV STATIC WICK BROKEN.,2013-02-21,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1120087,2013-02-21 14:52:00,2013-02-21 00:00:00,N531ND,3735.2999999999997,2730.0,FOD RUBBING ON CONTROL YOKE CHAIN UNDER DASH,2013-02-21,REMOVED FOD,flight_control_unspecified,flight_control unspecified
1120482,2013-03-07 14:57:00,2013-03-07 09:49:00,N574ND,12198.4,2700.0,CONTROL YOKES STICKY.,2013-03-07,CLEANED CONTROL YOKES.,flight_control_unspecified,flight_control unspecified
1120620,2013-03-11 20:32:00,2013-03-11 10:37:00,N523ND,4583.8,2360.0,"STATIC WICK, 2ND FROM O/B, ON R/H SIDE OF STAB IS BROKEN.",2013-03-11,REMOVED & REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1120684,2013-03-13 15:04:00,2013-03-13 10:09:00,N560ND,3873.6000000000004,2700.0,CONTROL YOKES STICKY.,2013-03-13,CLEANED CONTROL YOKES.,flight_control_unspecified,flight_control unspecified
1120988,2013-03-23 10:22:00,2013-03-23 13:31:00,N526ND,7894.5,2360.0,STATIC WICK BROKEN.,2013-03-23,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1121183,2013-03-28 13:11:00,2013-03-28 14:52:00,N530ND,8886.7,2360.0,STATIC WICK BROKEN.,2013-03-28,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
1121344,2013-04-02 14:56:00,2013-07-26 15:19:00,N522ND,11961.6,2700.0,CONTROL YOKE BUSHING WORN.,2013-06-04,ORDERED PARTS.,flight_control_unspecified,flight_control unspecified
1121443,2013-04-05 19:57:00,2013-04-16 15:03:00,N539ND,10586.4,5510.0,R/H STAB TIP CRACKED.,2013-04-09,"STOP DRILLED CRACK, APPLIED 2 PART EPOXY.",flight_control_unspecified,flight_control unspecified
1121508,2013-04-08 13:01:00,2013-04-08 10:08:00,N551ND,8838.2,2700.0,CONTROL YOKES STICKY.,2013-04-08,"CLEANED CONTROL YOKES, OPS CHECK GOOD.",flight_control_unspecified,flight_control unspecified
1121726,2013-04-16 14:43:00,2013-04-16 14:54:00,N558ND,8390.6,520.0,TAIL TIP EVALUATION DUE.,2013-04-16,"REPAIRED 3 CRACKS ON LEFT, 4 ON RIGHT.",flight_control_unspecified,flight_control unspecified
1121762,2013-04-17 14:18:00,2013-04-17 13:15:00,N524ND,7651.7,2700.0,CONTROL YOKES ARE STICKY.,2013-04-17,"CLEANED CONTROL YOKES, OPS CHECK GOOD.",flight_control_unspecified,flight_control unspecified
1121836,2013-04-20 07:54:00,2013-04-20 09:39:00,N520ND,8050.4,3310.0,LIGHT UNDER CONTROL WHEEL IS NOT WORKING.,2013-04-20,REMOVED & REPLACED LIGHT BULB.,flight_control_unspecified,flight_control unspecified
1121919,2013-04-22 15:01:00,2013-04-22 13:34:00,N570ND,8056.700000000001,2360.0,L/H O/B STATIC WICK BROKEN.,2013-04-22,REPLACED STATIC WICK.,flight_control_unspecified,flight_control unspecified
