workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1113868,2012-08-03 11:46:00,2012-08-03 11:16:00,N545ND,6475.1,2510.0,HARDWARE MISSING ON AMSAFE TEST PLUG.,2012-08-03,INSTALLED NEW HARDWARE @ AMSAFE TEST PLUG.,ignition_unspecified,ignition unspecified
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,7100.0,ENGINE DUE FOR TIME CHANGE.,2012-10-21,"INSTALLED ALTERNATOR, HOSES, ROUTED IGN LEADS & PRE-OILED ENGINE.",ignition_unspecified,ignition unspecified
1119070,2013-01-22 14:55:00,2013-01-22 14:08:00,N540ND,7504.5,2400.0,PB 018 CONNECTOR PLUG @ J BOX NEEDS TO BE REASSEMBLED.,2013-01-22,REASSEMBLED CONNECTOR.,ignition_unspecified,ignition unspecified
1122900,2013-05-20 09:47:00,2013-05-22 12:56:00,N549ND,8442.400000000001,7100.0,ENGINE DUE TIME CHANGE.,2013-05-22,"COMPLETED ENGINE INSTALLATION, RAN A/C, OPS & LEAK CHECK GOOD.",ignition_unspecified,ignition unspecified
1124591,2013-07-10 14:51:00,2013-07-10 14:59:00,N536ND,7935.4,2510.0,"PILOT SEAT AMSAFE HARNESS NEEDS A TYRAP, NEAR PLUG.",2013-07-10,SECURED W/ TYRAPS.,ignition_unspecified,ignition unspecified
1125404,2013-08-06 14:41:00,2013-08-06 11:14:00,N565ND,9016.4,7420.0,#4 BOTTOM PLUG LEAD IS CHAFING.,2013-08-06,"DETERMINED LEAD TO BE SERVICEABLE, REPOSITIONED LEAD.",ignition_unspecified,ignition unspecified
1126514,2013-09-13 09:33:00,2013-09-25 13:58:00,N513ND,13368.8,8000.0,STARTER DUE TIME CHANGE.,2013-09-22,OPS CK GOOD.,ignition_unspecified,ignition unspecified
1127349,2013-10-10 14:49:00,2013-10-10 00:00:00,N548ND,7792.6,3240.0,PARKING BRAKE DISCONNECTED,2013-10-10,RECONNECTED PARK BRAKE,ignition_unspecified,ignition unspecified
1128456,2013-11-15 14:24:00,2013-11-15 13:39:00,N530ND,10608.1,3240.0,PARKING BRAKE INOP.,2013-11-15,"PARKING BRAKE HELD A/C @ 1500 RPM, OPS CK GOOD.",ignition_unspecified,ignition unspecified
1130733,2014-02-06 15:47:00,2014-02-08 12:45:00,N528ND,10645.0,3400.0,ADSB INOP.,2014-02-07,RELOADED CONFIGURATION FILES. RAN FOR MANY HOURS.,ignition_unspecified,ignition unspecified
1130958,2014-02-13 07:20:00,2014-02-21 10:16:00,N556ND,10416.0,2510.0,R/H AMSAFE PLUG IN CABIN IS BROKEN.,2014-02-13,RECONNECTED & RESECURED.,ignition_unspecified,ignition unspecified
1135633,2014-07-18 05:57:00,2014-07-18 13:16:00,N540ND,9038.7,7420.0,CYL #4 LOWER PLUG LEAD REQUIRES REPAIR.,2014-07-18,"REPAIRED #4 LEAD, OPS CK GOOD.",ignition_unspecified,ignition unspecified
1136652,2014-08-28 06:24:00,2014-08-29 14:38:00,N545ND,12406.4,7100.0,PILOT RUN UP L/H ENG DROP.,2014-08-28,CK'ED PLUGS - OK. SEE PD #15.,ignition_unspecified,ignition unspecified
1136989,2014-09-08 22:23:00,2014-09-08 14:02:00,N509ND,12150.4,8010.0,"ATTEMPTED TO START ENGINE 3 TIMES, NO SUCCESS.",2014-09-08,"RAN UP A/C, PERFORMED LEAN OUT PROCEDURE TO CLEAN OUT PLUGS. OPS CK OK.",ignition_unspecified,ignition unspecified
1137874,2014-10-06 08:38:00,2014-10-09 11:30:00,N551ND,12902.300000000001,7200.0,ENGINE DUE TIME CHANGE.,2014-10-07,BEGAN INSTALLATION OF WIRING.,ignition_unspecified,ignition unspecified
1137874,2014-10-06 08:38:00,2014-10-09 11:30:00,N551ND,12902.300000000001,7200.0,ENGINE DUE TIME CHANGE.,2014-10-08,COMPLETED INSTALLATION OF ENGINE. COMPLETED INSTALLATION OF WIRING. PRE-OILED & RAN ENGINE. LEAK CK GOOD.,ignition_unspecified,ignition unspecified
1139211,2014-11-19 06:17:00,2014-11-19 10:43:00,N689ND,83.0,2510.0,DOCUMENT BAG NEEDS INSTALLATION.,2014-11-19,INSTALLED DOCUMENT BAG.,ignition_unspecified,ignition unspecified
