workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1119647,2013-02-06 14:49:00,2013-02-06 14:29:00,N568ND,6780.3,7910.0,OIL FILTER TUBE GASKET REQUIRES REPLACEMENT.,2013-02-06,REMOVED & REPLACED GASKET.,induction_intake_unspecified,induction_intake unspecified
1119883,2013-02-14 14:45:00,2013-02-14 00:00:00,N508ND,6127.5,7100.0,CLEAR TAPE OVER AIR INTAKE,2013-02-14,REMOVED TAPE,induction_intake_unspecified,induction_intake unspecified
1122597,2013-05-11 11:10:00,2013-05-11 14:07:00,N543ND,7510.799999999999,7160.0,AIR INTAKE FIBERGLASS ELBOW CRACKED.,2013-05-11,PATCHED AIR INTAKE ELBOW.,induction_intake_unspecified,induction_intake unspecified
1124535,2013-07-09 06:53:00,2013-07-11 15:09:00,N573ND,8693.5,7110.0,DAMAGED CAM LOC ON INTAKE.,2013-07-09,REMOVED & REPLACED CAM LOC.,induction_intake_unspecified,induction_intake unspecified
1125201,2013-07-31 06:57:00,2013-07-31 13:19:00,N538ND,8181.1,7230.0,#1 CYL LWR INTAKE CLAMPS ARE LOOSE.,2013-07-31,ADJUSTED BOTH CLAMPS TO ACCESS BETTER & TIGHTENED.,induction_intake_unspecified,induction_intake unspecified
1126514,2013-09-13 09:33:00,2013-09-25 13:58:00,N513ND,13368.8,400.0,AIR FILTER IS DIRTY. AD 84-26-02 APPLIES. DATED 1/29/85.,2013-09-22,"C/W AD, INSTALLED NEW FILTER. NEXT DUE @ 5327.3 TACH.",induction_intake_unspecified,induction_intake unspecified
1126961,2013-09-27 14:30:00,2013-09-27 12:27:00,N572ND,8793.599999999999,400.0,"AIR FILTER IS DIRTY, AD 84-26-02 APPLIES. EFF DATE 1/29/85.",2013-09-27,"C/W AD, INSTALLED NEW FILTER. NEXT DUE @ 4225.1 TACH.",induction_intake_unspecified,induction_intake unspecified
1127483,2013-10-15 14:34:00,2013-10-15 13:25:00,N547ND,8596.7,400.0,"AIR FILTER IS DIRTY. AD 84-26-02, PAPER AIR FILTER DUE. EFF DATE 1/29/85.",2013-10-15,"INSTALLED NEW FILTER, C/W AD. NEXT DUE @ 3390.4 TACH.",induction_intake_unspecified,induction_intake unspecified
1127536,2013-10-17 06:10:00,2013-10-17 14:40:00,N512ND,11369.5,400.0,"AIR FILTER DIRTY, AD 84-26-02 EFF DATE 1/29/85 DUE.",2013-10-17,REPLACED W/ NEW FILTER IAW AD. NEXT DUE @ 5120.4 TACH.,induction_intake_unspecified,induction_intake unspecified
1127731,2013-10-23 06:54:00,2013-10-23 10:05:00,N572ND,9058.8,7230.0,#2 & 4 INTAKES LEAKING.,2013-10-23,REPLACED GASKETS ON #2 & 4 INTAKES.,induction_intake_unspecified,induction_intake unspecified
