workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114510,2012-08-23 14:56:00,2012-08-23 00:00:00,N556ND,7821.599999999999,7900.0,OIL FILTER SAFTY WIRE CUT,2012-08-23,RESAFTIED OIL FILTER,oil_system_unspecified,oil_system unspecified
1116175,2012-10-09 06:55:00,2012-10-11 13:21:00,N517ND,7897.6,7120.0,ENG MOUNT REQS MORE INVESTIGATION FOR WORN SPOT FORM BREATHER HOSE CLAMP.,2012-10-11,"FOUND LWR OIL STEEL FITTING CRACKED, REPLACED W/ BENCH STOCK HARDARE - INSP, FOUND TO BE SERVICEABLE. RUN UP & LEAK CK GOOD.",oil_system_unspecified,oil_system unspecified
1116811,2012-10-27 15:36:00,2012-10-28 13:08:00,N528ND,7471.6,3240.0,"LEFT BRAKE PEDAL FELT MUSHY AT ONE POINT ON RETURN TAXI, APPLIED FULL PRESSURE W/ NO RESPONSE. IF BRAKES PUMPED, THEY WOULD FIRM UP BUT AFTER A MIN OR SO, WOULD RETURN TO FEELING MUSHY.",2012-10-27,"BLED L/H SIDE BRAKES, REQUIRES TAXI.",oil_system_unspecified,oil_system unspecified
1117229,2012-11-09 07:01:00,2012-11-09 13:54:00,N558ND,7325.3,7920.0,OIL SUCTION SCREEN BENT UP.,2012-11-09,REPLACED W/ NEW.,oil_system_unspecified,oil_system unspecified
1119420,2013-01-31 20:29:00,2013-01-31 14:34:00,N547ND,6861.900000000001,7110.0,OIL DOOR WILL NOT SHUT AFTER INSPECTING OIL DURING PREFLIGHT.,2013-01-31,REMOVED & REPLACED OIL DOOR LATCH.,oil_system_unspecified,oil_system unspecified
1119884,2013-02-14 14:58:00,2013-02-14 11:38:00,N564ND,7973.5,400.0,"AD 2013-03-15, FUEL RETURN LINE CHAFING IS DUE. EFF DATE 3/19/13.",2013-02-14,DOES NOT APPLY BY A/C S/N. NO FURTHER ACTION REQUIRED.,oil_system_unspecified,oil_system unspecified
1119994,2013-02-19 14:55:00,2013-02-19 11:15:00,N545ND,7936.1,7900.0,OIL SCREEN DAMAGED.,2013-02-19,REMOVED & REPLACED OIL SCREEN.,oil_system_unspecified,oil_system unspecified
1119995,2013-02-19 14:56:00,2013-02-19 11:08:00,N520ND,7509.8,400.0,"AD 2013-03-15, RETURN LINE CHAFING DUE. EFF DATE 3/19/13.",2013-02-19,N/A BY S/N. NO FURTHER ACTION REQUIRED.,oil_system_unspecified,oil_system unspecified
1119996,2013-02-19 15:02:00,2013-02-21 13:50:00,N569ND,7488.599999999999,7100.0,ENG CHANGE DUE.,2013-02-21,"COMPLETED WIRING INSTALL, COMPLETED HOSE INSTALL. FINISHED SECURING HOSES, WIRING & CONTROLS. PRE-OILED ENG. LEAK CK GOOD ON FUEL & OIL. SEE W/O #1120099 FOR ENG BREAK-IN MX FLIGHT.",oil_system_unspecified,oil_system unspecified
1120087,2013-02-21 14:52:00,2013-02-21 00:00:00,N531ND,3735.2999999999997,7900.0,CLEAR TAPE ON OIL COBLER FINS,2013-02-21,REMOVED TAPE,oil_system_unspecified,oil_system unspecified
1120243,2013-02-27 15:00:00,2013-02-27 10:47:00,N524ND,7245.2,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-02-27,REMOVED WINTER FRONTS & TURNED INTO PARTS.,oil_system_unspecified,oil_system unspecified
1120254,2013-02-27 18:32:00,2013-02-28 14:50:00,N568ND,6861.6,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-02-28,"REMOVED WINTER FRONTS, TAGGED & TURNED INTO PARTS.",oil_system_unspecified,oil_system unspecified
1120274,2013-02-28 16:24:00,2013-02-28 12:39:00,N566ND,8289.2,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-02-28,"REMOVED WINTER FRONTS, TAGGED & TURNED INTO PARTS.",oil_system_unspecified,oil_system unspecified
1120289,2013-03-01 06:48:00,2013-03-01 13:11:00,N539ND,10280.1,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-03-01,REMOVED FRONTS & TURNED INTO PARTS.,oil_system_unspecified,oil_system unspecified
1120318,2013-03-01 14:51:00,2013-03-01 11:07:00,N532ND,5326.799999999999,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-03-01,REMOVED WINTER FRONTS & TURNED INTO PARTS.,oil_system_unspecified,oil_system unspecified
1120437,2013-03-06 15:01:00,2013-03-06 13:21:00,N512ND,9561.1,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-03-06,"REMOVED WINTER FRONTS, TAGGED & TURNED IN TO PARTS.",oil_system_unspecified,oil_system unspecified
1120445,2013-03-06 20:07:00,2013-03-06 13:31:00,N563ND,8062.3,7170.0,WINTER FRONTS NEED TO BE REMOVED.,2013-03-06,"REMOVED WINTER FRONTS, TAGGED & TURNED IN TO PARTS.",oil_system_unspecified,oil_system unspecified
1120482,2013-03-07 14:57:00,2013-03-07 09:49:00,N574ND,12198.4,7170.0,REMOVE WINTER FRONTS.,2013-03-07,"REMOVED WINTER FRONTS, RETURNED TO PARTS.",oil_system_unspecified,oil_system unspecified
1120505,2013-03-08 06:57:00,2013-03-08 12:59:00,N511ND,7610.9,400.0,"AD 2013-03-15, FUEL RETURN LINE CHAFING DUE. EFF DATE 3/19/13.",2013-03-08,N/A TO S/N. NO FURTHER ACTION REQUIRED.,oil_system_unspecified,oil_system unspecified
