workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,6100.0,PROP REQ REMOVAL FOR ENG CHANGE.,2012-10-03,REMOVED PROP.,propeller_unspecified,propeller unspecified
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,6100.0,PROP REQ REMOVAL FOR ENG CHANGE.,2012-10-05,REINSTALLED SAME PROPELLER ON ENGINE.,propeller_unspecified,propeller unspecified
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,6100.0,PROP IS DUE FOR TIME CHANGE.,2012-10-20,INSTALLED RECONDITIONED PROP S/N ADE23001.,propeller_unspecified,propeller unspecified
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,400.0,PERFORM AD RESEARCH FOR ENG & PROP CHANGE.,2012-10-22,ENG & PROP ARE IN COMPLICANE AT THIS TIME.,propeller_unspecified,propeller unspecified
1116623,2012-10-22 13:47:00,2013-02-28 14:51:00,N556ND,6770.0,6100.0,PROP BENT.,2012-12-28,INSTALLED S/N ADF23524A. TORQUED & SAFETIED.,propeller_unspecified,propeller unspecified
1117376,2012-11-14 15:09:00,2012-11-14 13:16:00,N516ND,10769.0,6100.0,POSSIBLE CRACK IN PROPELLER BULKHEAD.,2012-11-14,"REMOVED PROP BULKHEAD, INSPECTED & FOUND CRACKS. REPLACED BULKHEAD, TORQUED & SAFETIED PROP.",propeller_unspecified,propeller unspecified
1118171,2012-12-11 06:54:00,2012-12-18 12:42:00,N550ND,7664.400000000001,6100.0,PROP DUE TIME CHANGE.,2012-12-14,INSTALLED S/N SEC23508A.,propeller_unspecified,propeller unspecified
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,6100.0,PROPELLER DUE TIME CHANGE.,2013-01-08,REMOVED AFT BULKHEAD. INSTALLED SPACER & BULKHEAD ON RECONDITIONED PROP S/N AFC23517A.,propeller_unspecified,propeller unspecified
1119011,2013-01-21 14:24:00,2013-01-23 13:44:00,N559ND,7671.599999999999,6100.0,PROP CHANGE DUE.,2013-01-22,INSTALLED PROP S/N ACL23006 & BACKPLATE. SAFETIED AS NEEDED.,propeller_unspecified,propeller unspecified
1119244,2013-01-26 08:51:00,2013-01-26 09:46:00,N569ND,7335.599999999999,6100.0,MINOR NICKS ON PROP.,2013-01-26,REMOVED NICKS FROM PROP.,propeller_unspecified,propeller unspecified
