workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114458,2012-08-22 14:51:00,2012-08-22 11:10:00,N537ND,6322.799999999999,7230.0,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,2012-08-22,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1114510,2012-08-23 14:56:00,2012-08-23 00:00:00,N556ND,7821.599999999999,3340.0,SCREW MISSING FROM TAIL NAV. LIGHT COVER,2012-08-23,REINSTALLED SCREW,valve_cover_unspecified,valve_cover unspecified
1114928,2012-09-04 14:51:00,2012-09-06 16:10:00,N545ND,6750.5,7230.0,#1 & 3 ROCKER BOX COVER SCREWS LOOSE.,2012-09-04,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1115090,2012-09-07 14:42:00,2012-09-07 15:01:00,N513ND,10197.2,7230.0,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.",2012-09-07,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1116567,2012-10-20 06:21:00,2012-10-20 14:59:00,N549ND,7060.0,2510.0,PILOT PLASTIC BELT BUCKLE COVER CRACKED.,2012-10-20,REMOVED & REPLACED COVER.,valve_cover_unspecified,valve_cover unspecified
1116712,2012-10-24 14:32:00,2012-10-24 15:25:00,N508ND,5413.200000000001,7230.0,#2 & 3 ROCKER GASKETS LEAKING.,2012-10-24,REPLACED GASKETS.,valve_cover_unspecified,valve_cover unspecified
1116942,2012-10-30 18:33:00,2012-10-30 15:13:00,N510ND,7049.099999999999,7230.0,ROCKER BOX COVER SCREWS LOOSE.,2012-10-30,RETORQUED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1116980,2012-10-31 14:39:00,2012-10-31 13:32:00,N559ND,7221.299999999999,7230.0,ROCKER BOX COVER SCREWS LOOSE.,2012-10-31,RETORQUED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1117189,2012-11-07 14:46:00,2012-11-07 13:43:00,N515ND,7696.9,7230.0,ROCKER BOX COVER SCREWS LOOSE (ALL CYLS).,2012-11-07,RETORQUED ROCKER BOX COVER SCREWS.,valve_cover_unspecified,valve_cover unspecified
1117683,2012-11-21 14:13:00,2012-11-21 15:18:00,N540ND,7221.900000000001,2510.0,COPILOTS SEAT BELT COVER CRACKED.,2012-11-21,REMOVED & REPLACED SEAT BELT COVER.,valve_cover_unspecified,valve_cover unspecified
1117788,2012-11-27 14:53:00,2012-12-03 13:43:00,N531ND,3320.7000000000003,2140.0,CABIN HEAT VALVE IS NOT OPENING OR SHUTING.,2012-12-03,REMOVED & REPLACED CABIN HEAT VALVE. INSTALLED HOUSING W/ SCREWS. OPS CHECK GOOD.,valve_cover_unspecified,valve_cover unspecified
1117813,2012-11-28 13:00:00,2012-11-28 10:53:00,N560ND,3321.0,7230.0,ROCKER BOX COVER SCREWS LOOSE.,2012-11-28,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1117899,2012-11-30 14:47:00,2012-12-03 09:53:00,N576ND,6533.0,7230.0,ROCKER BOX COVER SCREWS LOOSE.,2012-11-30,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1117954,2012-12-04 07:03:00,2012-12-04 13:27:00,N563ND,7576.6,7230.0,#1 ROCKER GASKET LEAKING.,2012-12-04,REPLACED GASKET.,valve_cover_unspecified,valve_cover unspecified
1118171,2012-12-11 06:54:00,2012-12-18 12:42:00,N550ND,7664.400000000001,7170.0,WINTER COVERS NEED TO BE INSTALLED.,2012-12-18,INSTALLED COVERS.,valve_cover_unspecified,valve_cover unspecified
1118209,2012-12-12 06:59:00,2012-12-15 13:02:00,N570ND,7268.299999999999,7230.0,#2 & 4 ROCKER GASKETS ARE LEAKING.,2012-12-12,REMOVED & REPLACED #2 & 4 GASKETS.,valve_cover_unspecified,valve_cover unspecified
1118234,2012-12-12 14:56:00,2012-12-16 13:11:00,N579ND,6147.599999999999,7170.0,INSTALL WINTER COVERS.,2012-12-16,INSTALLED WINTER COVERS.,valve_cover_unspecified,valve_cover unspecified
1118424,2012-12-26 08:12:00,2012-12-27 15:06:00,N575ND,5626.5,7170.0,INSTALL WINTER COVER.,2012-12-27,INSTALLED COVERS.,valve_cover_unspecified,valve_cover unspecified
1118638,2013-01-08 14:52:00,2013-01-08 09:55:00,N558ND,7663.1,7230.0,ROCKER BOX COVER SCREWS LOOSE.,2013-01-08,TIGHTENED SCREWS.,valve_cover_unspecified,valve_cover unspecified
1118644,2013-01-08 20:35:00,2013-01-08 10:52:00,N552ND,10715.8,7230.0,#2 ROCKER BOX COVER GASKET LEAKS.,2013-01-08,REMOVED & REPLACED #2 COVER GASKET.,valve_cover_unspecified,valve_cover unspecified
1118921,2013-01-17 14:46:00,2013-01-17 14:56:00,N538ND,6527.5,7230.0,#2 ROCKER BOX COVER GASKET LEAKING.,2013-01-17,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,valve_cover_unspecified,valve_cover unspecified
1119139,2013-01-23 15:01:00,2013-01-24 13:08:00,N574ND,11919.7,7230.0,#3 & 4 ROCKER GASKETS ARE LEAKING.,2013-01-23,REPLACED GASKETS.,valve_cover_unspecified,valve_cover unspecified
1119323,2013-01-28 14:44:00,2013-01-28 13:06:00,N545ND,7800.2,7230.0,ROCKER BOX COVER SCREW LOOSE ON ALL CYLS.,2013-01-28,TIGHTENED ROCKER BOX COVER SCREWS.,valve_cover_unspecified,valve_cover unspecified
1119410,2013-01-31 14:46:00,2013-01-31 14:54:00,N531ND,3594.2999999999997,3340.0,CLEAR TAPE ON LANDING LIGHT COVER.,2013-01-31,REMOVED TAPE.,valve_cover_unspecified,valve_cover unspecified
1119640,2013-02-06 13:41:00,2013-02-06 14:04:00,N516ND,11361.5,7230.0,#3 CYL ROCKER GASKET IS LEAKING.,2013-02-06,REPLACED GASKET.,valve_cover_unspecified,valve_cover unspecified
1120213,2013-02-26 14:09:00,2013-03-01 13:56:00,N572ND,7138.8,2510.0,R/H SEAT BELT PLASTIC COVER IS CRACKED.,2013-02-26,REMOVED & REPLACED PLASTIC COVER.,valve_cover_unspecified,valve_cover unspecified
1120238,2013-02-27 13:31:00,2013-02-27 10:52:00,N526ND,7673.4,7170.0,WINTER COVERS NEED TO BE REMOVED.,2013-02-27,REMOVED WINTER COVERS.,valve_cover_unspecified,valve_cover unspecified
1120361,2013-03-03 09:00:00,2013-03-03 13:09:00,N571ND,7538.1,2510.0,L/H SEAT BELT COVER IS CRACKED.,2013-03-03,REMOVED & REPLACED COVER.,valve_cover_unspecified,valve_cover unspecified
1120504,2013-03-08 06:52:00,2013-03-08 13:28:00,N516ND,11537.9,7170.0,WINTER COVERS NEED TO BE REMOVED.,2013-03-08,REMOVED WINTER COVERS.,valve_cover_unspecified,valve_cover unspecified
1120515,2013-03-08 14:05:00,2013-03-08 12:36:00,N519ND,8180.799999999999,2510.0,R/H SEAT BELT COVER IS CRACKED.,2013-03-08,REPLACED SEAT BELT COVER.,valve_cover_unspecified,valve_cover unspecified
1120914,2013-03-21 14:48:00,2013-03-21 13:50:00,N516ND,11666.9,2510.0,R/H SEAT BELT COVER IS CRACKED.,2013-03-21,REMOVED & REPLACED SEAT BELT COVER.,valve_cover_unspecified,valve_cover unspecified
1120962,2013-03-22 14:47:00,2013-03-23 12:55:00,N546ND,7208.700000000001,2510.0,R/H SEAT BELT COVER IS BROKEN.,2013-03-22,REMOVED & REPLACED SEAT BELT COVER.,valve_cover_unspecified,valve_cover unspecified
